,file_name,class_value,workpiece_location,scenario_condition,scenario_exception
43,Ch_000001624393.json,001_control-group,right,normal,0
44,Ch_000001624394.json,001_control-group,left,normal,0
45,Ch_000001624395.json,001_control-group,right,normal,0
46,Ch_000001624396.json,001_control-group,left,normal,0
47,Ch_000001624397.json,001_control-group,right,normal,0
48,Ch_000001624399.json,001_control-group,left,normal,0
49,Ch_000001624400.json,001_control-group,right,normal,0
50,Ch_000001624401.json,001_control-group,left,faulty,0
51,Ch_000001624402.json,001_control-group,right,faulty,0
52,Ch_000001624403.json,001_control-group,left,faulty,0
53,Ch_000001624404.json,001_control-group,right,faulty,0
54,Ch_000001624405.json,001_control-group,left,faulty,0
55,Ch_000001624406.json,001_control-group,right,faulty,0
56,Ch_000001624407.json,001_control-group,left,faulty,0
57,Ch_000001624408.json,001_control-group,right,faulty,0
58,Ch_000001624409.json,001_control-group,left,faulty,0
59,Ch_000001624410.json,001_control-group,right,faulty,0
60,Ch_000001624411.json,001_control-group,left,normal,0
61,Ch_000001624412.json,001_control-group,right,normal,0
62,Ch_000001624413.json,001_control-group,left,normal,0
63,Ch_000001624414.json,001_control-group,right,normal,0
64,Ch_000001624415.json,001_control-group,left,normal,0
65,Ch_000001624416.json,001_control-group,right,normal,0
66,Ch_000001624417.json,001_control-group,left,normal,0
67,Ch_000001624418.json,001_control-group,right,normal,0
68,Ch_000001624419.json,001_control-group,left,normal,0
69,Ch_000001624420.json,001_control-group,right,normal,0
70,Ch_000001624421.json,001_control-group,left,faulty,0
71,Ch_000001624422.json,001_control-group,right,faulty,0
72,Ch_000001624423.json,001_control-group,left,faulty,0
73,Ch_000001624424.json,001_control-group,right,faulty,0
74,Ch_000001624425.json,001_control-group,left,faulty,0
75,Ch_000001624426.json,001_control-group,right,faulty,0
76,Ch_000001624427.json,001_control-group,left,faulty,0
77,Ch_000001624428.json,001_control-group,right,faulty,0
78,Ch_000001624429.json,001_control-group,left,faulty,0
79,Ch_000001624430.json,001_control-group,right,faulty,0
80,Ch_000001624431.json,001_control-group,left,normal,0
81,Ch_000001624432.json,001_control-group,right,normal,0
82,Ch_000001624433.json,001_control-group,left,normal,0
83,Ch_000001624434.json,001_control-group,right,normal,0
84,Ch_000001624435.json,001_control-group,left,normal,0
85,Ch_000001624436.json,001_control-group,right,normal,0
86,Ch_000001624437.json,001_control-group,left,normal,0
87,Ch_000001624438.json,001_control-group,right,normal,0
88,Ch_000001624439.json,001_control-group,left,normal,0
89,Ch_000001624440.json,001_control-group,right,normal,0
90,Ch_000001624441.json,001_control-group,left,faulty,0
91,Ch_000001624442.json,001_control-group,right,faulty,0
92,Ch_000001624443.json,001_control-group,left,faulty,0
93,Ch_000001624444.json,001_control-group,right,faulty,0
94,Ch_000001624445.json,001_control-group,left,faulty,0
95,Ch_000001624446.json,001_control-group,right,faulty,0
96,Ch_000001624447.json,001_control-group,left,faulty,0
97,Ch_000001624448.json,001_control-group,right,faulty,0
98,Ch_000001624449.json,001_control-group,left,faulty,0
99,Ch_000001624450.json,001_control-group,right,faulty,0
100,Ch_000001624451.json,001_control-group,left,normal,0
101,Ch_000001624452.json,001_control-group,right,normal,0
102,Ch_000001624453.json,001_control-group,left,normal,0
103,Ch_000001624454.json,001_control-group,right,normal,0
104,Ch_000001624455.json,001_control-group,left,normal,0
105,Ch_000001624456.json,001_control-group,right,normal,0
106,Ch_000001624457.json,001_control-group,left,normal,0
107,Ch_000001624458.json,001_control-group,right,normal,0
108,Ch_000001624459.json,001_control-group,left,normal,0
109,Ch_000001624460.json,001_control-group,right,normal,0
110,Ch_000001624461.json,001_control-group,left,faulty,0
111,Ch_000001624462.json,001_control-group,right,faulty,0
112,Ch_000001624463.json,001_control-group,left,faulty,0
113,Ch_000001624464.json,001_control-group,right,faulty,0
114,Ch_000001624465.json,001_control-group,left,faulty,0
115,Ch_000001624466.json,001_control-group,right,faulty,0
116,Ch_000001624467.json,001_control-group,left,faulty,0
117,Ch_000001624468.json,001_control-group,right,faulty,0
118,Ch_000001624469.json,001_control-group,left,faulty,0
119,Ch_000001624470.json,001_control-group,right,faulty,0
120,Ch_000001624471.json,001_control-group,left,normal,0
121,Ch_000001624472.json,001_control-group,right,normal,0
122,Ch_000001624473.json,001_control-group,left,normal,0
123,Ch_000001624474.json,001_control-group,right,normal,0
124,Ch_000001624475.json,001_control-group,left,normal,0
125,Ch_000001624476.json,001_control-group,right,normal,0
126,Ch_000001624477.json,001_control-group,left,normal,0
127,Ch_000001624478.json,001_control-group,right,normal,0
128,Ch_000001624479.json,001_control-group,left,normal,0
129,Ch_000001624480.json,001_control-group,right,normal,0
130,Ch_000001624481.json,001_control-group,left,faulty,0
131,Ch_000001624482.json,001_control-group,right,faulty,0
132,Ch_000001624483.json,001_control-group,left,faulty,0
133,Ch_000001624484.json,001_control-group,right,faulty,0
134,Ch_000001624485.json,001_control-group,left,faulty,0
135,Ch_000001624486.json,001_control-group,right,faulty,0
136,Ch_000001624487.json,001_control-group,left,faulty,0
137,Ch_000001624488.json,001_control-group,right,faulty,0
138,Ch_000001624489.json,001_control-group,left,faulty,0
139,Ch_000001624490.json,001_control-group,right,faulty,0
140,Ch_000001624491.json,001_control-group,left,normal,0
141,Ch_000001624492.json,001_control-group,right,normal,0
142,Ch_000001624493.json,001_control-group,left,normal,0
143,Ch_000001624494.json,001_control-group,right,normal,0
144,Ch_000001624495.json,001_control-group,left,normal,0
145,Ch_000001624496.json,001_control-group,right,normal,0
146,Ch_000001624497.json,001_control-group,left,normal,0
147,Ch_000001624498.json,001_control-group,right,normal,0
148,Ch_000001624499.json,001_control-group,left,normal,0
149,Ch_000001624500.json,001_control-group,right,normal,0
150,Ch_000001624501.json,001_control-group,left,faulty,0
151,Ch_000001624502.json,001_control-group,right,faulty,0
152,Ch_000001624503.json,001_control-group,left,faulty,0
153,Ch_000001624504.json,001_control-group,right,faulty,0
154,Ch_000001624505.json,001_control-group,left,faulty,0
155,Ch_000001624506.json,001_control-group,right,faulty,0
156,Ch_000001624507.json,001_control-group,left,faulty,0
157,Ch_000001624508.json,001_control-group,right,faulty,0
158,Ch_000001624509.json,001_control-group,left,faulty,0
159,Ch_000001624510.json,001_control-group,right,faulty,0
160,Ch_000001624511.json,001_control-group,left,normal,0
161,Ch_000001624512.json,001_control-group,right,normal,0
162,Ch_000001624513.json,001_control-group,left,normal,0
163,Ch_000001624514.json,001_control-group,right,normal,0
164,Ch_000001624515.json,001_control-group,left,normal,0
165,Ch_000001624516.json,001_control-group,right,normal,0
166,Ch_000001624517.json,001_control-group,left,normal,0
167,Ch_000001624518.json,001_control-group,right,normal,0
168,Ch_000001624519.json,001_control-group,left,normal,0
169,Ch_000001624520.json,001_control-group,right,normal,0
170,Ch_000001624521.json,001_control-group,left,faulty,0
171,Ch_000001624522.json,001_control-group,right,faulty,0
172,Ch_000001624523.json,001_control-group,left,faulty,0
173,Ch_000001624524.json,001_control-group,right,faulty,0
174,Ch_000001624525.json,001_control-group,left,faulty,0
175,Ch_000001624526.json,001_control-group,right,faulty,0
176,Ch_000001624527.json,001_control-group,left,faulty,0
177,Ch_000001624528.json,001_control-group,right,faulty,0
178,Ch_000001624529.json,001_control-group,left,faulty,0
179,Ch_000001624530.json,001_control-group,right,faulty,0
180,Ch_000001624531.json,001_control-group,left,normal,0
181,Ch_000001624532.json,001_control-group,right,normal,0
182,Ch_000001624533.json,001_control-group,left,normal,0
183,Ch_000001624534.json,001_control-group,right,normal,0
184,Ch_000001624535.json,001_control-group,left,normal,0
185,Ch_000001624536.json,001_control-group,right,normal,0
186,Ch_000001624537.json,001_control-group,left,normal,0
187,Ch_000001624538.json,001_control-group,right,normal,0
188,Ch_000001624539.json,001_control-group,left,normal,0
189,Ch_000001624540.json,001_control-group,right,normal,0
190,Ch_000001624541.json,001_control-group,left,faulty,0
191,Ch_000001624542.json,001_control-group,right,faulty,0
192,Ch_000001624543.json,001_control-group,left,faulty,0
193,Ch_000001624544.json,001_control-group,right,faulty,0
194,Ch_000001624545.json,001_control-group,left,faulty,0
195,Ch_000001624546.json,001_control-group,right,faulty,0
196,Ch_000001624547.json,001_control-group,left,faulty,0
197,Ch_000001624548.json,001_control-group,right,faulty,0
198,Ch_000001624549.json,001_control-group,left,faulty,0
199,Ch_000001624550.json,001_control-group,right,faulty,0
200,Ch_000001619516.json,101_deformed-thread,left,normal,0
201,Ch_000001619517.json,101_deformed-thread,right,normal,0
202,Ch_000001619518.json,101_deformed-thread,left,normal,0
203,Ch_000001619519.json,101_deformed-thread,right,normal,0
204,Ch_000001619520.json,101_deformed-thread,left,normal,0
205,Ch_000001619521.json,101_deformed-thread,right,normal,0
206,Ch_000001619522.json,101_deformed-thread,left,normal,0
207,Ch_000001619523.json,101_deformed-thread,right,normal,0
208,Ch_000001619524.json,101_deformed-thread,left,normal,0
209,Ch_000001619525.json,101_deformed-thread,right,normal,0
210,Ch_000001619526.json,101_deformed-thread,left,faulty,0
211,Ch_000001619527.json,101_deformed-thread,right,faulty,0
212,Ch_000001619528.json,101_deformed-thread,left,faulty,0
213,Ch_000001619529.json,101_deformed-thread,right,faulty,0
214,Ch_000001619530.json,101_deformed-thread,left,faulty,0
215,Ch_000001619531.json,101_deformed-thread,right,faulty,0
216,Ch_000001619532.json,101_deformed-thread,left,faulty,0
217,Ch_000001619533.json,101_deformed-thread,right,faulty,0
218,Ch_000001619534.json,101_deformed-thread,left,faulty,0
219,Ch_000001619535.json,101_deformed-thread,right,faulty,0
220,Ch_000001619536.json,101_deformed-thread,left,normal,0
221,Ch_000001619537.json,101_deformed-thread,right,normal,0
222,Ch_000001619538.json,101_deformed-thread,left,normal,0
223,Ch_000001619539.json,101_deformed-thread,right,normal,0
224,Ch_000001619540.json,101_deformed-thread,left,normal,0
225,Ch_000001619541.json,101_deformed-thread,right,normal,0
226,Ch_000001619542.json,101_deformed-thread,left,normal,0
227,Ch_000001619543.json,101_deformed-thread,right,normal,0
228,Ch_000001619544.json,101_deformed-thread,left,normal,0
229,Ch_000001619545.json,101_deformed-thread,right,normal,0
230,Ch_000001619546.json,101_deformed-thread,left,faulty,0
231,Ch_000001619547.json,101_deformed-thread,right,faulty,0
232,Ch_000001619548.json,101_deformed-thread,left,faulty,0
233,Ch_000001619549.json,101_deformed-thread,right,faulty,0
234,Ch_000001619550.json,101_deformed-thread,left,faulty,0
235,Ch_000001619551.json,101_deformed-thread,right,faulty,0
236,Ch_000001619552.json,101_deformed-thread,left,faulty,0
237,Ch_000001619553.json,101_deformed-thread,right,faulty,0
238,Ch_000001619554.json,101_deformed-thread,left,faulty,0
239,Ch_000001619555.json,101_deformed-thread,right,faulty,0
240,Ch_000001619556.json,101_deformed-thread,left,normal,0
241,Ch_000001619557.json,101_deformed-thread,right,normal,0
242,Ch_000001619558.json,101_deformed-thread,left,normal,0
243,Ch_000001619559.json,101_deformed-thread,right,normal,0
244,Ch_000001619560.json,101_deformed-thread,left,normal,0
245,Ch_000001619561.json,101_deformed-thread,right,normal,0
246,Ch_000001619562.json,101_deformed-thread,left,normal,0
247,Ch_000001619563.json,101_deformed-thread,right,normal,0
248,Ch_000001619564.json,101_deformed-thread,left,normal,0
249,Ch_000001619565.json,101_deformed-thread,right,normal,0
250,Ch_000001619566.json,101_deformed-thread,left,faulty,0
251,Ch_000001619567.json,101_deformed-thread,right,faulty,0
252,Ch_000001619568.json,101_deformed-thread,left,faulty,0
253,Ch_000001619569.json,101_deformed-thread,right,faulty,0
254,Ch_000001619570.json,101_deformed-thread,left,faulty,0
255,Ch_000001619571.json,101_deformed-thread,right,faulty,0
256,Ch_000001619572.json,101_deformed-thread,left,faulty,0
257,Ch_000001619573.json,101_deformed-thread,right,faulty,0
258,Ch_000001619574.json,101_deformed-thread,left,faulty,0
259,Ch_000001619575.json,101_deformed-thread,right,faulty,0
260,Ch_000001619576.json,101_deformed-thread,left,normal,0
261,Ch_000001619577.json,101_deformed-thread,right,normal,0
262,Ch_000001619578.json,101_deformed-thread,left,normal,0
263,Ch_000001619579.json,101_deformed-thread,right,normal,0
264,Ch_000001619580.json,101_deformed-thread,left,normal,0
265,Ch_000001619581.json,101_deformed-thread,right,normal,0
266,Ch_000001619582.json,101_deformed-thread,left,normal,0
267,Ch_000001619583.json,101_deformed-thread,right,normal,0
268,Ch_000001619584.json,101_deformed-thread,left,normal,0
269,Ch_000001619585.json,101_deformed-thread,right,normal,0
270,Ch_000001619586.json,101_deformed-thread,left,faulty,0
271,Ch_000001619587.json,101_deformed-thread,right,faulty,0
272,Ch_000001619588.json,101_deformed-thread,left,faulty,1
273,Ch_000001619589.json,101_deformed-thread,right,faulty,0
274,Ch_000001619590.json,101_deformed-thread,left,faulty,0
275,Ch_000001619591.json,101_deformed-thread,right,faulty,0
276,Ch_000001619592.json,101_deformed-thread,left,faulty,0
277,Ch_000001619593.json,101_deformed-thread,right,faulty,0
278,Ch_000001619594.json,101_deformed-thread,left,faulty,0
279,Ch_000001619595.json,101_deformed-thread,right,faulty,0
280,Ch_000001619596.json,101_deformed-thread,left,normal,0
281,Ch_000001619597.json,101_deformed-thread,right,normal,0
282,Ch_000001619598.json,101_deformed-thread,left,normal,0
283,Ch_000001619599.json,101_deformed-thread,right,normal,0
284,Ch_000001619600.json,101_deformed-thread,left,normal,0
285,Ch_000001619601.json,101_deformed-thread,right,normal,0
286,Ch_000001619602.json,101_deformed-thread,left,normal,0
287,Ch_000001619603.json,101_deformed-thread,right,normal,0
288,Ch_000001619604.json,101_deformed-thread,left,normal,0
289,Ch_000001619605.json,101_deformed-thread,right,normal,0
290,Ch_000001619606.json,101_deformed-thread,left,faulty,0
291,Ch_000001619607.json,101_deformed-thread,right,faulty,0
292,Ch_000001619608.json,101_deformed-thread,left,faulty,0
293,Ch_000001619609.json,101_deformed-thread,right,faulty,0
294,Ch_000001619610.json,101_deformed-thread,left,faulty,0
295,Ch_000001619611.json,101_deformed-thread,right,faulty,0
296,Ch_000001619612.json,101_deformed-thread,left,faulty,0
297,Ch_000001619613.json,101_deformed-thread,right,faulty,0
298,Ch_000001619614.json,101_deformed-thread,left,faulty,0
299,Ch_000001619615.json,101_deformed-thread,right,faulty,0
300,Ch_000001619616.json,101_deformed-thread,left,normal,0
301,Ch_000001619617.json,101_deformed-thread,right,normal,0
302,Ch_000001619618.json,101_deformed-thread,left,normal,0
303,Ch_000001619619.json,101_deformed-thread,right,normal,0
304,Ch_000001619620.json,101_deformed-thread,left,normal,0
305,Ch_000001619621.json,101_deformed-thread,right,normal,0
306,Ch_000001619622.json,101_deformed-thread,left,normal,0
307,Ch_000001619623.json,101_deformed-thread,right,normal,0
308,Ch_000001619624.json,101_deformed-thread,left,normal,0
309,Ch_000001619625.json,101_deformed-thread,right,normal,0
310,Ch_000001619626.json,101_deformed-thread,left,faulty,0
311,Ch_000001619627.json,101_deformed-thread,right,faulty,0
312,Ch_000001619628.json,101_deformed-thread,left,faulty,0
313,Ch_000001619629.json,101_deformed-thread,right,faulty,0
314,Ch_000001619630.json,101_deformed-thread,left,faulty,0
315,Ch_000001619631.json,101_deformed-thread,right,faulty,0
316,Ch_000001619632.json,101_deformed-thread,left,faulty,0
317,Ch_000001619633.json,101_deformed-thread,right,faulty,0
318,Ch_000001619634.json,101_deformed-thread,left,faulty,0
319,Ch_000001619635.json,101_deformed-thread,right,faulty,0
320,Ch_000001619636.json,101_deformed-thread,left,normal,0
321,Ch_000001619637.json,101_deformed-thread,right,normal,0
322,Ch_000001619638.json,101_deformed-thread,left,normal,0
323,Ch_000001619639.json,101_deformed-thread,right,normal,0
324,Ch_000001619640.json,101_deformed-thread,left,normal,0
325,Ch_000001619641.json,101_deformed-thread,right,normal,0
326,Ch_000001619642.json,101_deformed-thread,left,normal,0
327,Ch_000001619643.json,101_deformed-thread,right,normal,0
328,Ch_000001619644.json,101_deformed-thread,left,normal,0
329,Ch_000001619645.json,101_deformed-thread,right,normal,0
330,Ch_000001619646.json,101_deformed-thread,left,faulty,0
331,Ch_000001619647.json,101_deformed-thread,right,faulty,0
332,Ch_000001619648.json,101_deformed-thread,left,faulty,0
333,Ch_000001619649.json,101_deformed-thread,right,faulty,0
334,Ch_000001619650.json,101_deformed-thread,left,faulty,0
335,Ch_000001619651.json,101_deformed-thread,right,faulty,0
336,Ch_000001619652.json,101_deformed-thread,left,faulty,0
337,Ch_000001619653.json,101_deformed-thread,right,faulty,0
338,Ch_000001619654.json,101_deformed-thread,left,faulty,0
339,Ch_000001619655.json,101_deformed-thread,right,faulty,0
340,Ch_000001619656.json,101_deformed-thread,left,normal,0
341,Ch_000001619657.json,101_deformed-thread,right,normal,0
342,Ch_000001619658.json,101_deformed-thread,left,normal,0
343,Ch_000001619659.json,101_deformed-thread,right,normal,0
344,Ch_000001619660.json,101_deformed-thread,left,normal,0
345,Ch_000001619661.json,101_deformed-thread,right,normal,0
346,Ch_000001619662.json,101_deformed-thread,left,normal,0
347,Ch_000001619663.json,101_deformed-thread,right,normal,0
348,Ch_000001619664.json,101_deformed-thread,left,normal,0
349,Ch_000001619665.json,101_deformed-thread,right,normal,0
350,Ch_000001619666.json,101_deformed-thread,left,faulty,0
351,Ch_000001619667.json,101_deformed-thread,right,faulty,0
352,Ch_000001619668.json,101_deformed-thread,left,faulty,0
353,Ch_000001619669.json,101_deformed-thread,right,faulty,0
354,Ch_000001619670.json,101_deformed-thread,left,faulty,0
355,Ch_000001619671.json,101_deformed-thread,right,faulty,0
356,Ch_000001619672.json,101_deformed-thread,left,faulty,0
357,Ch_000001619673.json,101_deformed-thread,right,faulty,0
358,Ch_000001619674.json,101_deformed-thread,left,faulty,0
359,Ch_000001619675.json,101_deformed-thread,right,faulty,0
360,Ch_000001619676.json,101_deformed-thread,left,normal,0
361,Ch_000001619677.json,101_deformed-thread,right,normal,0
362,Ch_000001619678.json,101_deformed-thread,left,normal,0
363,Ch_000001619679.json,101_deformed-thread,right,normal,0
364,Ch_000001619680.json,101_deformed-thread,left,normal,0
365,Ch_000001619681.json,101_deformed-thread,right,normal,0
366,Ch_000001619682.json,101_deformed-thread,left,normal,0
367,Ch_000001619683.json,101_deformed-thread,right,normal,0
368,Ch_000001619684.json,101_deformed-thread,left,normal,0
369,Ch_000001619685.json,101_deformed-thread,right,normal,0
370,Ch_000001619686.json,101_deformed-thread,left,faulty,0
371,Ch_000001619687.json,101_deformed-thread,right,faulty,0
372,Ch_000001619688.json,101_deformed-thread,left,faulty,0
373,Ch_000001619689.json,101_deformed-thread,right,faulty,0
374,Ch_000001619690.json,101_deformed-thread,left,faulty,0
375,Ch_000001619691.json,101_deformed-thread,right,faulty,0
376,Ch_000001619692.json,101_deformed-thread,left,faulty,0
377,Ch_000001619693.json,101_deformed-thread,right,faulty,0
378,Ch_000001619694.json,101_deformed-thread,left,faulty,0
379,Ch_000001619695.json,101_deformed-thread,right,faulty,0
380,Ch_000001619696.json,101_deformed-thread,left,normal,0
381,Ch_000001619697.json,101_deformed-thread,right,normal,0
382,Ch_000001619698.json,101_deformed-thread,left,normal,0
383,Ch_000001619699.json,101_deformed-thread,right,normal,0
384,Ch_000001619700.json,101_deformed-thread,left,normal,1
385,Ch_000001619701.json,101_deformed-thread,right,normal,0
386,Ch_000001619702.json,101_deformed-thread,left,normal,0
387,Ch_000001619703.json,101_deformed-thread,right,normal,0
388,Ch_000001619704.json,101_deformed-thread,left,normal,0
389,Ch_000001619705.json,101_deformed-thread,right,normal,0
390,Ch_000001619706.json,101_deformed-thread,left,faulty,0
391,Ch_000001619707.json,101_deformed-thread,right,faulty,0
392,Ch_000001619708.json,101_deformed-thread,left,faulty,0
393,Ch_000001619709.json,101_deformed-thread,right,faulty,0
394,Ch_000001619710.json,101_deformed-thread,left,faulty,0
395,Ch_000001619711.json,101_deformed-thread,right,faulty,0
396,Ch_000001619712.json,101_deformed-thread,left,faulty,0
397,Ch_000001619713.json,101_deformed-thread,right,faulty,0
398,Ch_000001619714.json,101_deformed-thread,left,faulty,0
399,Ch_000001619715.json,101_deformed-thread,right,faulty,0
400,Ch_000001619718.json,102_filed-screw-tip,left,normal,0
401,Ch_000001619719.json,102_filed-screw-tip,right,normal,0
402,Ch_000001619720.json,102_filed-screw-tip,left,normal,0
403,Ch_000001619721.json,102_filed-screw-tip,right,normal,0
404,Ch_000001619722.json,102_filed-screw-tip,left,normal,0
405,Ch_000001619723.json,102_filed-screw-tip,right,normal,0
406,Ch_000001619724.json,102_filed-screw-tip,left,normal,0
407,Ch_000001619725.json,102_filed-screw-tip,right,normal,0
408,Ch_000001619726.json,102_filed-screw-tip,left,normal,0
409,Ch_000001619727.json,102_filed-screw-tip,right,normal,0
410,Ch_000001619728.json,102_filed-screw-tip,left,faulty,0
411,Ch_000001619729.json,102_filed-screw-tip,right,faulty,0
412,Ch_000001619730.json,102_filed-screw-tip,left,faulty,0
413,Ch_000001619731.json,102_filed-screw-tip,right,faulty,0
414,Ch_000001619732.json,102_filed-screw-tip,left,faulty,0
415,Ch_000001619733.json,102_filed-screw-tip,right,faulty,0
416,Ch_000001619734.json,102_filed-screw-tip,left,faulty,1
417,Ch_000001619735.json,102_filed-screw-tip,right,faulty,0
418,Ch_000001619736.json,102_filed-screw-tip,left,faulty,0
419,Ch_000001619737.json,102_filed-screw-tip,right,faulty,0
420,Ch_000001619738.json,102_filed-screw-tip,left,normal,0
421,Ch_000001619739.json,102_filed-screw-tip,right,normal,0
422,Ch_000001619740.json,102_filed-screw-tip,left,normal,0
423,Ch_000001619741.json,102_filed-screw-tip,right,normal,0
424,Ch_000001619742.json,102_filed-screw-tip,left,normal,0
425,Ch_000001619743.json,102_filed-screw-tip,right,normal,0
426,Ch_000001619744.json,102_filed-screw-tip,left,normal,0
427,Ch_000001619745.json,102_filed-screw-tip,right,normal,0
428,Ch_000001619746.json,102_filed-screw-tip,left,normal,0
429,Ch_000001619747.json,102_filed-screw-tip,right,normal,0
430,Ch_000001619748.json,102_filed-screw-tip,left,faulty,0
431,Ch_000001619749.json,102_filed-screw-tip,right,faulty,0
432,Ch_000001619750.json,102_filed-screw-tip,left,faulty,0
433,Ch_000001619751.json,102_filed-screw-tip,right,faulty,0
434,Ch_000001619752.json,102_filed-screw-tip,left,faulty,0
435,Ch_000001619753.json,102_filed-screw-tip,right,faulty,0
436,Ch_000001619754.json,102_filed-screw-tip,left,faulty,0
437,Ch_000001619755.json,102_filed-screw-tip,right,faulty,0
438,Ch_000001619756.json,102_filed-screw-tip,left,faulty,0
439,Ch_000001619757.json,102_filed-screw-tip,right,faulty,0
440,Ch_000001619758.json,102_filed-screw-tip,left,normal,0
441,Ch_000001619759.json,102_filed-screw-tip,right,normal,0
442,Ch_000001619760.json,102_filed-screw-tip,left,normal,0
443,Ch_000001619761.json,102_filed-screw-tip,right,normal,0
444,Ch_000001619762.json,102_filed-screw-tip,left,normal,0
445,Ch_000001619763.json,102_filed-screw-tip,right,normal,0
446,Ch_000001619764.json,102_filed-screw-tip,left,normal,0
447,Ch_000001619765.json,102_filed-screw-tip,right,normal,0
448,Ch_000001619766.json,102_filed-screw-tip,left,normal,0
449,Ch_000001619767.json,102_filed-screw-tip,right,normal,0
450,Ch_000001619768.json,102_filed-screw-tip,left,faulty,0
451,Ch_000001619769.json,102_filed-screw-tip,right,faulty,0
452,Ch_000001619770.json,102_filed-screw-tip,left,faulty,0
453,Ch_000001619771.json,102_filed-screw-tip,right,faulty,0
454,Ch_000001619772.json,102_filed-screw-tip,left,faulty,0
455,Ch_000001619773.json,102_filed-screw-tip,right,faulty,0
456,Ch_000001619774.json,102_filed-screw-tip,left,faulty,0
457,Ch_000001619775.json,102_filed-screw-tip,right,faulty,0
458,Ch_000001619776.json,102_filed-screw-tip,left,faulty,0
459,Ch_000001619777.json,102_filed-screw-tip,right,faulty,0
460,Ch_000001619778.json,102_filed-screw-tip,left,normal,0
461,Ch_000001619779.json,102_filed-screw-tip,right,normal,0
462,Ch_000001619780.json,102_filed-screw-tip,left,normal,0
463,Ch_000001619781.json,102_filed-screw-tip,right,normal,0
464,Ch_000001619782.json,102_filed-screw-tip,left,normal,0
465,Ch_000001619783.json,102_filed-screw-tip,right,normal,0
466,Ch_000001619784.json,102_filed-screw-tip,left,normal,0
467,Ch_000001619785.json,102_filed-screw-tip,right,normal,0
468,Ch_000001619786.json,102_filed-screw-tip,left,normal,0
469,Ch_000001619787.json,102_filed-screw-tip,right,normal,0
470,Ch_000001619788.json,102_filed-screw-tip,left,faulty,0
471,Ch_000001619789.json,102_filed-screw-tip,right,faulty,0
472,Ch_000001619790.json,102_filed-screw-tip,left,faulty,0
473,Ch_000001619791.json,102_filed-screw-tip,right,faulty,0
474,Ch_000001619792.json,102_filed-screw-tip,left,faulty,0
475,Ch_000001619793.json,102_filed-screw-tip,right,faulty,0
476,Ch_000001619794.json,102_filed-screw-tip,left,faulty,0
477,Ch_000001619795.json,102_filed-screw-tip,right,faulty,0
478,Ch_000001619796.json,102_filed-screw-tip,left,faulty,0
479,Ch_000001619797.json,102_filed-screw-tip,right,faulty,0
480,Ch_000001619798.json,102_filed-screw-tip,left,normal,0
481,Ch_000001619799.json,102_filed-screw-tip,right,normal,0
482,Ch_000001619800.json,102_filed-screw-tip,left,normal,0
483,Ch_000001619801.json,102_filed-screw-tip,right,normal,0
484,Ch_000001619802.json,102_filed-screw-tip,left,normal,0
485,Ch_000001619803.json,102_filed-screw-tip,right,normal,0
486,Ch_000001619804.json,102_filed-screw-tip,left,normal,0
